distance_m,lon,lat,elevation_m
0.00,520347.419196,5414035.728569,208.00
30.00,520343.519694,5414007.343795,208.00
60.00,520322.933925,5413985.870700,209.00
90.00,520322.933925,5413955.870700,209.00
120.00,520314.507486,5413929.361045,209.00
150.00,520293.294282,5413908.147842,210.00
180.00,520272.081079,5413886.934638,209.00
210.00,520250.867875,5413865.721435,209.00
240.00,520229.654672,5413844.508232,209.00
270.00,520208.441469,5413823.295028,208.00
300.00,520187.228265,5413802.081825,207.00
330.00,520176.022298,5413776.723488,206.00
360.00,520162.115560,5413752.483848,208.00
390.00,520151.537027,5413726.865619,209.00
420.00,520137.002854,5413702.885871,210.00
450.00,520115.789650,5413681.672668,210.00
480.00,520094.576447,5413660.459464,210.00
510.00,520078.081214,5413637.292014,210.00
540.00,520069.463741,5413610.861488,210.00
570.00,520058.941348,5413589.648284,210.00
600.00,520078.081214,5413567.576276,210.00
630.00,520078.081214,5413537.576276,211.00
660.00,520078.081214,5413507.576276,211.00
690.00,520078.081214,5413477.576276,211.00
720.00,520060.409868,5413454.895988,210.00
750.00,520039.196664,5413433.682784,208.00
780.00,520017.983461,5413412.469581,208.00
810.00,519996.770257,5413391.256377,207.00
840.00,519975.557054,5413370.043174,208.00
870.00,519954.343851,5413348.829970,210.00
900.00,519933.130647,5413327.616767,209.00
930.00,519911.917444,5413306.403564,209.00
960.00,519890.704240,5413285.190360,209.00
990.00,519869.491037,5413263.977157,209.00
1020.00,519848.277833,5413242.763953,209.00
1050.00,519827.064630,5413221.550750,209.00
1080.00,519805.851426,5413200.337546,208.00
1110.00,519784.638223,5413179.124343,208.00
1140.00,519763.425020,5413157.911139,206.00
1170.00,519735.040246,5413154.011637,205.00
1200.00,519713.827043,5413132.798434,206.00
1230.00,519692.613839,5413111.585230,207.00
1260.00,519665.222127,5413105.288268,207.00
1290.00,519635.844293,5413103.786226,208.00
1320.00,519614.631089,5413082.573022,207.00
1350.00,519593.417886,5413061.359819,207.00
1380.00,519572.204683,5413040.146616,208.00
1410.00,519550.991479,5413018.933412,210.00
1440.00,519529.778276,5412997.720209,210.00
1470.00,519508.565072,5412976.507005,211.00
1500.00,519486.074915,5412958.376641,211.00
1530.00,519456.074915,5412958.376641,210.00
1560.00,519430.582322,5412947.494797,209.00
1590.00,519409.369119,5412926.281594,209.00
1620.00,519388.155915,5412905.068391,210.00
1650.00,519366.501309,5412884.920828,211.00
1680.00,519338.557939,5412879.955685,210.00
1710.00,519317.344735,5412858.742481,211.00
1740.00,519296.131532,5412837.529278,211.00
1770.00,519274.918328,5412816.316075,211.00
1800.00,519246.927703,5412811.465015,209.00
1830.00,519225.320352,5412791.203369,209.00
1860.00,519204.107148,5412769.990165,207.00
1890.00,519182.893945,5412748.776962,207.00
1920.00,519161.680741,5412727.563759,207.00
1950.00,519140.467538,5412706.350555,206.00
1980.00,519119.254334,5412685.137352,205.00
2010.00,519098.041131,5412663.924148,206.00
2040.00,519076.827928,5412642.710945,207.00
2070.00,519055.614724,5412621.497741,207.00
2100.00,519034.401521,5412600.284538,208.00
2130.00,519013.188317,5412579.071335,208.00
2160.00,518991.975114,5412557.858131,208.00
2190.00,518970.761910,5412536.644928,206.00
2220.00,518949.548707,5412515.431724,206.00
2250.00,518928.335503,5412494.218521,208.00
2280.00,518907.122300,5412473.005317,210.00
2310.00,518885.909097,5412451.792114,208.00
2340.00,518864.695893,5412430.578911,205.00
2370.00,518843.482690,5412409.365707,205.00
2400.00,518822.269486,5412388.152504,205.00
2430.00,518801.056283,5412366.939300,208.00
2460.00,518779.843079,5412345.726097,211.00
2490.00,518758.629876,5412324.512893,211.00
2520.00,518737.416673,5412303.299690,211.00
2550.00,518716.203469,5412282.086486,211.00
2580.00,518694.990266,5412260.873283,211.00
2610.00,518673.777062,5412239.660080,211.00
2640.00,518652.563859,5412218.446876,210.00
2670.00,518633.450221,5412196.364004,210.00
2700.00,518627.451153,5412168.848899,210.00
2730.00,518606.237950,5412147.635696,211.00
2760.00,518585.024746,5412126.422493,211.00
2790.00,518563.811543,5412105.209289,210.00
2820.00,518542.598339,5412083.996086,208.00
2850.00,518521.385136,5412062.782882,208.00
2880.00,518511.023866,5412037.074661,209.00
2910.00,518496.272430,5412013.184906,209.00
2940.00,518486.538594,5411987.216792,209.00
2970.00,518471.159725,5411963.586929,209.00
3000.00,518449.946521,5411942.373725,209.00
3030.00,518428.733318,5411921.160522,210.00
3060.00,518413.082781,5411897.643186,209.00
3090.00,518413.082781,5411867.643186,209.00
3120.00,518399.721110,5411843.177772,210.00
3150.00,518388.597510,5411817.785318,211.00
3180.00,518388.597510,5411787.785318,211.00
3210.00,518389.172417,5411758.023452,211.00
3240.00,518410.385621,5411736.810249,211.00
3270.00,518413.082781,5411707.927449,211.00
3300.00,518413.082781,5411677.927449,211.00
3330.00,518413.082781,5411647.927449,211.00
3360.00,518400.181933,5411623.271155,212.00
3390.00,518378.968730,5411602.057952,212.00
3420.00,518357.755526,5411580.844749,212.00
3450.00,518336.542323,5411559.631545,212.00
3480.00,518315.329119,5411538.418342,212.00
3510.00,518294.115916,5411517.205138,211.00
3540.00,518272.902712,5411495.991935,211.00
3570.00,518251.689509,5411474.778731,211.00
3600.00,518230.476306,5411453.565528,211.00
3630.00,518209.263102,5411432.352325,210.00
3660.00,518192.715342,5411409.206631,210.00
3690.00,518192.715342,5411379.206631,210.00
3720.00,518192.715342,5411349.206631,211.00
3750.00,518192.715342,5411319.206631,211.00
3780.00,518172.451890,5411297.600028,212.00
3810.00,518151.238686,5411276.386824,212.00
3840.00,518130.025483,5411255.173621,212.00
3870.00,518119.259528,5411229.633025,211.00
3900.00,518119.259528,5411199.633025,210.00
3930.00,518119.259528,5411169.633025,209.00
3960.00,518114.427474,5411141.634528,208.00
3990.00,518094.774257,5411119.775157,208.00
4020.00,518094.774257,5411089.775157,209.00
4050.00,518094.774257,5411059.775157,210.00
4080.00,518081.515764,5411035.267005,210.00
4110.00,518070.288986,5411009.917288,210.00
4140.00,518056.403058,5410985.669028,208.00
4170.00,518045.803715,5410960.059419,207.00
4200.00,518045.803715,5410930.059419,207.00
4230.00,518027.390850,5410907.686278,207.00
4260.00,518006.177647,5410886.473074,207.00
4290.00,517996.833173,5410860.343682,207.00
4320.00,517981.064941,5410836.875098,206.00
4350.00,517959.851738,5410815.661894,207.00
4380.00,517938.638534,5410794.448691,207.00
4410.00,517917.425331,5410773.235487,210.00
4440.00,517896.212128,5410752.022284,212.00
4470.00,517874.998924,5410730.809080,212.00
4500.00,517853.785721,5410709.595877,211.00
4530.00,517849.886218,5410681.211104,209.00
4560.00,517828.673015,5410659.997900,209.00
4590.00,517807.459812,5410638.784697,212.00
4620.00,517786.246608,5410617.571493,212.00
4650.00,517765.033405,5410596.358290,212.00
4680.00,517743.820201,5410575.145087,210.00
4710.00,517722.606998,5410553.931883,210.00
4740.00,517701.393794,5410532.718680,209.00
4770.00,517680.180591,5410511.505476,207.00
